Channel,Others(1-30Hz)_Avg_Power,Low_Gamma(30-60Hz)_Avg_Power,Mid_Gamma(60-90Hz)_Avg_Power,High_Gamma(90-300Hz)_Avg_Power
Ch.1,96.627945,4.8487473,0.47314912,0.7356676
Ch.10,96.65995,4.838179,0.47945258,0.7345018
Ch.11,96.71138,4.8418074,0.4757262,0.73465633
Ch.12,96.69233,4.8407583,0.47429398,0.73525274
Ch.13,96.70609,4.841975,0.47442633,0.7341907
Ch.14,96.65969,4.833844,0.47141993,0.7341118
Ch.15,96.6274,4.8251643,0.46612358,0.73383045
Ch.16,96.60735,4.8286366,0.4640141,0.7337397
Ch.2,96.59495,4.841477,0.47495773,0.7354839
Ch.3,96.583626,4.8321505,0.4774178,0.7357176
Ch.4,96.56242,4.8326335,0.4802274,0.73512954
Ch.5,96.54988,4.832908,0.48424697,0.7351419
Ch.6,96.56348,4.834012,0.48414287,0.73475856
Ch.7,96.58738,4.835208,0.48321888,0.7350651
Ch.8,96.61428,4.8346477,0.48312703,0.7351403
Ch.9,96.66222,4.8346148,0.48327482,0.73418665
